,constant,realgdp,realcons,realgovt,realdpi,cpi,m1,pop,unemp
0,1,2710.349,1707.4,470.045,1886.9,28.98,139.7,177.146,5.8
1,1,2778.801,1733.7,481.301,1919.7,29.15,141.7,177.83,5.1
2,1,2775.488,1751.8,491.26,1916.4,29.35,140.5,178.657,5.3
3,1,2785.204,1753.7,484.052,1931.3,29.37,140.0,179.386,5.6
4,1,2847.699,1770.5,462.199,1955.5,29.54,139.6,180.007,5.2
5,1,2834.39,1792.9,460.4,1966.1,29.55,140.2,180.671,5.2
6,1,2839.022,1785.8,474.676,1967.8,29.75,140.9,181.528,5.6
7,1,2802.616,1788.2,476.434,1966.6,29.84,141.1,182.287,6.3
8,1,2819.264,1787.7,475.854,1984.5,29.81,142.1,182.992,6.8
9,1,2872.005,1814.3,480.328,2014.4,29.92,142.9,183.691,7.0
10,1,2918.419,1823.1,493.828,2041.9,29.98,144.1,184.524,6.8
11,1,2977.83,1859.6,502.521,2082.0,30.04,145.2,185.242,6.2
12,1,3031.241,1879.4,520.96,2101.7,30.21,146.4,185.874,5.6
13,1,3064.709,1902.5,523.066,2125.2,30.22,146.5,186.538,5.5
14,1,3093.047,1917.9,538.838,2137.0,30.38,146.7,187.323,5.6
15,1,3100.563,1945.1,535.912,2154.6,30.44,148.3,188.013,5.5
16,1,3141.087,1958.2,522.917,2172.5,30.48,149.7,188.58,5.8
17,1,3180.447,1976.9,518.108,2193.1,30.69,151.3,189.242,5.7
18,1,3240.332,2003.8,546.893,2217.9,30.75,152.6,190.028,5.5
19,1,3264.967,2020.6,532.383,2254.6,30.94,153.7,190.668,5.6
20,1,3338.246,2060.5,529.686,2299.6,30.95,154.8,191.245,5.5
21,1,3376.587,2096.7,526.175,2362.1,31.02,156.8,191.889,5.2
22,1,3422.469,2135.2,522.008,2392.7,31.12,159.2,192.631,5.0
23,1,3431.957,2141.2,514.603,2420.4,31.28,160.7,193.223,5.0
24,1,3516.251,2188.8,508.006,2447.4,31.38,162.0,193.709,4.9
25,1,3563.96,2213.0,508.931,2474.5,31.58,163.1,194.303,4.7
26,1,3636.285,2251.0,529.446,2542.6,31.65,166.0,194.997,4.4
27,1,3724.014,2314.3,544.121,2594.1,31.88,169.1,195.539,4.1
28,1,3815.423,2348.5,556.593,2618.4,32.28,171.8,195.999,3.9
29,1,3828.124,2354.5,571.371,2624.7,32.45,170.3,196.56,3.8
30,1,3853.301,2381.5,594.514,2657.8,32.85,171.2,197.207,3.8
31,1,3884.52,2391.4,599.528,2688.2,32.9,171.9,197.736,3.7
32,1,3918.74,2405.3,640.682,2728.4,33.1,174.2,198.206,3.8
33,1,3919.556,2438.1,631.43,2750.8,33.4,178.1,198.712,3.8
34,1,3950.826,2450.6,641.504,2777.1,33.7,181.6,199.311,3.8
35,1,3980.97,2465.7,640.234,2797.4,34.1,184.3,199.808,3.9
36,1,4063.013,2524.6,651.378,2846.2,34.4,186.6,200.208,3.7
37,1,4131.998,2563.3,646.145,2893.5,34.9,190.5,200.706,3.5
38,1,4160.267,2611.5,640.615,2899.3,35.3,194.0,201.29,3.5
39,1,4178.293,2623.5,636.729,2918.4,35.7,198.7,201.76,3.4
40,1,4244.1,2652.9,633.224,2923.4,36.3,200.7,202.161,3.4
41,1,4256.46,2669.8,623.16,2952.9,36.8,201.7,202.677,3.4
42,1,4283.378,2682.7,623.613,3012.9,37.3,202.9,203.302,3.6
43,1,4263.261,2704.1,606.9,3034.9,37.9,206.2,203.849,3.6
44,1,4256.573,2720.7,594.888,3050.1,38.5,206.7,204.401,4.2
45,1,4264.289,2733.2,576.257,3103.5,38.9,208.0,205.052,4.8
46,1,4302.259,2757.1,567.743,3145.4,39.4,212.9,205.788,5.2
47,1,4256.637,2749.6,564.666,3135.1,39.9,215.5,206.466,5.8
48,1,4374.016,2802.2,542.709,3197.3,40.1,220.0,207.065,5.9
49,1,4398.829,2827.9,534.905,3245.3,40.6,224.9,207.661,5.9
50,1,4433.943,2850.4,532.646,3259.7,40.9,227.2,208.345,6.0
51,1,4446.264,2897.8,516.14,3294.2,41.2,230.1,208.917,6.0
52,1,4525.769,2936.5,518.192,3314.9,41.5,235.6,209.386,5.8
53,1,4633.101,2992.6,526.473,3346.1,41.8,238.8,209.896,5.7
54,1,4677.503,3038.8,498.116,3414.6,42.2,245.0,210.479,5.6
55,1,4754.546,3110.1,496.54,3550.5,42.7,251.5,210.985,5.3
56,1,4876.166,3167.0,504.838,3590.7,43.7,252.7,211.42,5.0
57,1,4932.571,3165.4,497.033,3626.2,44.2,257.5,211.909,4.9
58,1,4906.252,3176.7,475.897,3644.4,45.6,259.0,212.475,4.8
59,1,4953.05,3167.4,476.174,3688.9,46.8,263.8,212.932,4.8
60,1,4909.617,3139.7,491.043,3632.3,48.1,267.2,213.361,5.1
61,1,4922.188,3150.6,490.177,3601.1,49.3,269.3,213.854,5.2
62,1,4873.52,3163.6,492.586,3612.4,51.0,272.3,214.451,5.6
63,1,4854.34,3117.3,496.176,3596.0,52.3,273.9,214.931,6.6
64,1,4795.295,3143.4,490.603,3581.9,53.0,276.2,215.353,8.2
65,1,4831.942,3195.8,486.679,3749.3,54.0,283.7,215.973,8.9
66,1,4913.328,3241.4,498.836,3698.6,54.9,285.4,216.587,8.5
67,1,4977.511,3275.7,500.141,3736.0,55.8,288.4,217.095,8.3
68,1,5090.663,3341.2,495.568,3791.0,56.1,294.7,217.528,7.7
69,1,5128.947,3371.8,494.532,3822.2,57.0,297.2,218.035,7.6
70,1,5154.072,3407.5,493.141,3856.7,57.9,302.0,218.644,7.7
71,1,5191.499,3451.8,494.415,3884.4,58.7,308.3,219.179,7.8
72,1,5251.762,3491.3,498.509,3887.5,60.0,316.0,219.684,7.5
73,1,5356.131,3510.6,506.695,3931.8,60.8,320.2,220.239,7.1
74,1,5451.921,3544.1,509.605,3990.8,61.6,326.4,220.904,6.9
75,1,5450.793,3597.5,504.584,4071.2,62.7,334.4,221.477,6.6
76,1,5469.405,3618.5,506.314,4096.4,63.9,339.9,221.991,6.3
77,1,5684.569,3695.9,518.366,4143.4,65.5,347.6,222.585,6.0
78,1,5740.3,3711.4,520.199,4177.1,67.1,353.3,223.271,6.0
79,1,5816.222,3741.3,524.782,4209.8,68.5,358.6,223.865,5.9
80,1,5825.949,3760.2,525.524,4255.9,70.6,368.0,224.438,5.9
81,1,5831.418,3758.0,532.04,4226.1,73.0,377.2,225.055,5.7
82,1,5873.335,3794.9,531.232,4250.3,75.2,380.8,225.801,5.9
83,1,5889.495,3805.0,531.126,4284.3,78.0,385.8,226.451,5.9
84,1,5908.467,3798.4,548.115,4296.2,80.9,383.8,227.061,6.3
85,1,5787.373,3712.2,561.895,4236.1,82.6,394.0,227.726,7.3
86,1,5776.617,3752.0,554.292,4279.7,84.7,409.0,228.417,7.7
87,1,5883.46,3802.0,556.13,4368.1,87.2,411.3,228.937,7.4
88,1,6005.717,3822.8,567.618,4358.1,89.1,427.4,229.403,7.4
89,1,5957.795,3822.8,584.54,4358.6,91.5,426.9,229.966,7.4
90,1,6030.184,3838.3,583.89,4455.4,93.4,428.4,230.641,7.4
91,1,5955.062,3809.3,590.125,4464.4,94.4,442.7,231.157,8.2
92,1,5857.333,3833.9,591.043,4469.6,95.0,447.1,231.645,8.8
93,1,5889.074,3847.7,596.403,4500.8,97.5,448.0,232.188,9.4
94,1,5866.37,3877.2,605.37,4520.6,98.1,464.5,232.816,9.9
95,1,5871.001,3947.9,623.307,4536.4,97.9,477.2,233.322,10.7
96,1,5944.02,3986.6,630.873,4572.2,98.8,493.2,233.781,10.4
97,1,6077.619,4065.7,644.322,4605.5,99.8,507.8,234.307,10.1
98,1,6197.468,4137.6,662.412,4674.7,100.8,517.2,234.907,9.4
99,1,6325.574,4203.2,639.197,4771.1,102.1,525.1,235.385,8.5
100,1,6448.264,4239.2,644.635,4875.4,103.3,535.0,235.839,7.9
101,1,6559.594,4299.9,664.839,4959.4,104.1,540.9,236.348,7.5
102,1,6623.343,4333.0,662.294,5036.6,105.1,543.7,236.976,7.4
103,1,6677.264,4390.1,684.282,5084.5,105.7,557.0,237.468,7.3
104,1,6740.275,4464.6,691.613,5072.0,107.0,570.4,237.9,7.3
105,1,6797.344,4505.2,708.524,5172.7,107.7,589.1,238.466,7.3
106,1,6903.523,4590.8,732.305,5140.7,108.5,607.8,239.113,7.2
107,1,6955.918,4600.9,732.026,5193.9,109.9,621.4,239.638,7.0
108,1,7022.757,4639.3,728.125,5255.8,108.7,641.0,240.094,7.0
109,1,7050.969,4688.7,751.334,5315.5,109.5,670.3,240.651,7.2
110,1,7118.95,4770.7,779.77,5343.3,110.2,694.9,241.274,7.0
111,1,7153.359,4799.4,767.671,5346.5,111.4,730.2,241.784,6.8
112,1,7193.019,4792.1,772.247,5379.4,112.7,743.9,242.252,6.6
113,1,7269.51,4856.3,782.962,5321.0,113.8,743.0,242.804,6.3
114,1,7332.558,4910.4,783.804,5416.2,115.0,756.2,243.446,6.0
115,1,7458.022,4922.2,795.467,5493.1,116.0,756.2,243.981,5.9
116,1,7496.6,5004.4,773.851,5562.1,117.2,768.1,244.445,5.7
117,1,7592.881,5040.8,765.98,5614.3,118.5,781.4,245.021,5.5
118,1,7632.082,5080.6,760.245,5657.5,119.9,783.3,245.693,5.5
119,1,7733.991,5140.4,783.065,5708.5,121.2,785.7,246.224,5.3
120,1,7806.603,5159.3,767.024,5773.4,123.1,779.2,246.721,5.2
121,1,7865.016,5182.4,784.275,5749.8,124.5,777.8,247.342,5.2
122,1,7927.393,5236.1,791.819,5787.0,125.4,786.6,248.067,5.3
123,1,7944.697,5261.7,787.844,5831.3,127.5,795.4,248.659,5.4
124,1,8027.693,5303.3,799.681,5875.1,128.9,806.2,249.306,5.3
125,1,8059.598,5320.8,800.639,5913.9,130.5,810.1,250.132,5.3
126,1,8059.476,5341.0,793.513,5918.1,133.4,819.8,251.057,5.7
127,1,7988.864,5299.5,800.525,5878.2,134.7,827.2,251.889,6.1
128,1,7950.164,5284.4,806.775,5896.3,135.1,843.2,252.643,6.6
129,1,8003.822,5324.7,809.081,5941.1,136.2,861.5,253.493,6.8
130,1,8037.538,5345.0,793.987,5953.6,137.2,878.0,254.435,6.9
131,1,8069.046,5342.6,778.378,5992.4,138.3,910.4,255.214,7.1
132,1,8157.616,5434.5,778.568,6082.9,139.4,943.8,255.992,7.4
133,1,8244.294,5466.7,777.762,6129.5,140.5,963.2,256.894,7.6
134,1,8329.361,5527.1,786.639,6160.6,141.7,1003.8,257.861,7.6
135,1,8417.016,5594.6,787.064,6248.2,142.8,1030.4,258.679,7.4
136,1,8432.485,5617.2,762.901,6156.5,143.8,1047.6,259.414,7.2
137,1,8486.435,5671.1,752.158,6252.3,144.5,1084.5,260.255,7.1
138,1,8531.108,5732.7,744.227,6265.7,145.6,1113.0,261.163,6.8
139,1,8643.769,5783.7,748.102,6358.1,146.3,1131.6,261.919,6.6
140,1,8727.919,5848.1,721.288,6332.6,147.2,1141.1,262.631,6.6
141,1,8847.303,5891.5,717.197,6440.6,148.4,1150.5,263.436,6.2
142,1,8904.289,5938.7,736.89,6487.9,149.4,1150.1,264.301,6.0
143,1,9003.18,5997.3,716.702,6574.0,150.5,1151.4,265.044,5.6
144,1,9025.267,6004.3,715.326,6616.6,151.8,1149.3,265.755,5.5
145,1,9044.668,6053.5,712.492,6617.2,152.6,1145.4,266.557,5.7
146,1,9120.684,6107.6,707.649,6666.8,153.5,1137.3,267.456,5.7
147,1,9184.275,6150.6,681.081,6706.2,154.7,1123.5,268.151,5.6
148,1,9247.188,6206.9,695.265,6777.7,156.1,1124.8,268.853,5.5
149,1,9407.052,6277.1,705.172,6850.6,157.0,1112.4,269.667,5.5
150,1,9488.879,6314.6,692.741,6908.9,158.2,1086.1,270.581,5.3
151,1,9592.458,6366.1,690.744,6946.8,159.4,1081.5,271.36,5.3
152,1,9666.235,6430.2,681.445,7008.9,159.9,1063.8,272.083,5.2
153,1,9809.551,6456.2,693.525,7061.5,160.4,1066.2,272.912,5.0
154,1,9932.672,6566.0,691.261,7142.4,161.5,1065.5,273.852,4.9
155,1,10008.874,6641.1,690.311,7241.5,162.0,1074.4,274.626,4.7
156,1,10103.425,6707.2,668.783,7406.2,162.2,1076.1,275.304,4.6
157,1,10194.277,6822.6,687.184,7512.0,163.2,1075.0,276.115,4.4
158,1,10328.787,6913.1,681.472,7591.0,163.9,1086.0,277.003,4.5
159,1,10507.575,7019.1,688.147,7646.5,164.7,1097.8,277.79,4.4
160,1,10601.179,7088.3,683.601,7698.4,165.9,1101.9,278.451,4.3
161,1,10684.049,7199.9,683.594,7716.0,166.7,1098.7,279.295,4.3
162,1,10819.914,7286.4,697.936,7765.9,168.1,1102.3,280.203,4.2
163,1,11014.254,7389.2,713.445,7887.7,169.3,1121.9,280.976,4.1
164,1,11043.044,7501.3,685.216,8053.4,170.9,1113.5,281.653,4.0
165,1,11258.454,7571.8,712.641,8135.9,172.7,1103.0,282.385,3.9
166,1,11267.867,7645.9,698.827,8222.3,173.9,1098.7,283.19,4.0
167,1,11334.544,7713.5,695.597,8234.6,175.6,1097.7,283.9,3.9
168,1,11297.171,7744.3,710.403,8296.5,176.4,1114.9,284.55,4.2
169,1,11371.251,7773.5,725.623,8273.7,177.4,1139.7,285.267,4.4
170,1,11340.075,7807.7,730.493,8484.5,177.6,1166.0,286.047,4.8
171,1,11380.128,7930.0,739.318,8385.5,177.7,1190.9,286.728,5.5
172,1,11477.868,7957.3,756.915,8611.6,179.3,1185.9,287.328,5.7
173,1,11538.77,7997.8,774.408,8658.9,180.0,1199.5,288.028,5.8
174,1,11596.43,8052.0,786.673,8629.2,181.2,1204.0,288.783,5.7
175,1,11598.824,8080.6,799.967,8649.6,182.6,1226.8,289.421,5.8
176,1,11645.819,8122.3,800.196,8681.3,183.2,1248.4,290.019,5.9
177,1,11738.706,8197.8,838.775,8812.5,183.7,1287.9,290.704,6.2
178,1,11935.461,8312.1,839.598,8935.4,184.9,1297.3,291.449,6.1
179,1,12042.817,8358.0,845.722,8986.4,186.3,1306.1,292.057,5.8
180,1,12127.623,8437.6,856.57,9025.9,187.4,1332.1,292.635,5.7
181,1,12213.818,8483.2,861.44,9115.0,189.1,1340.5,293.31,5.6
182,1,12303.533,8555.8,876.385,9175.9,190.8,1361.0,294.066,5.4
183,1,12410.282,8654.2,865.596,9303.4,191.8,1366.6,294.741,5.4
184,1,12534.113,8719.0,869.204,9189.6,193.8,1357.8,295.308,5.3
185,1,12587.535,8802.9,870.044,9253.0,194.7,1366.6,295.994,5.1
186,1,12683.153,8865.6,890.394,9308.0,199.2,1375.0,296.77,5.0
187,1,12748.699,8888.5,875.557,9358.7,199.4,1380.6,297.435,4.9
188,1,12915.938,8986.6,900.511,9533.8,200.7,1380.5,298.061,4.7
189,1,12962.462,9035.0,892.839,9617.3,202.7,1369.2,298.766,4.7
190,1,12965.916,9090.7,892.002,9662.5,201.9,1369.4,299.593,4.7
191,1,13060.679,9181.6,894.404,9788.8,203.574,1373.6,300.32,4.4
192,1,13099.901,9265.1,882.766,9830.2,205.92,1379.7,300.977,4.5
193,1,13203.977,9291.5,898.713,9842.7,207.338,1370.0,301.714,4.5
194,1,13321.109,9335.6,918.983,9883.9,209.133,1379.2,302.509,4.7
195,1,13391.249,9363.6,925.11,9886.2,212.495,1377.4,303.204,4.8
196,1,13366.865,9349.6,943.372,9826.8,213.997,1384.0,303.803,4.9
197,1,13415.266,9351.0,961.28,10059.0,218.61,1409.3,304.483,5.4
198,1,13324.6,9267.7,991.551,9838.3,216.889,1474.7,305.27,6.0
199,1,13141.92,9195.3,1007.273,9920.4,212.174,1576.5,305.952,6.9
200,1,12925.41,9209.2,996.287,9926.4,212.671,1592.8,306.547,8.1
201,1,12901.504,9189.0,1023.528,10077.5,214.469,1653.6,307.226,9.2
202,1,12990.341,9256.0,1044.088,10040.6,216.385,1673.9,308.013,9.6
